DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2025.10.11,00:30,Atlético Tucumán , Godoy Cruz,59,20,20,71,29,44,56,ACC
2025.10.11,00:30,Tigre , Estudiantes LP,25,25,50,70,30,40,60,ACC
2025.10.11,20:00,Gimnasia LP , Velez Sarsfield,26,26,47,65,35,30,70,ACC
2025.10.11,22:00,Deportivo Riestra , Independiente,23,53,23,62,38,35,65,ACC
2025.10.11,22:00,Chapecoense , America MG,56,22,22,61,39,38,62,ACC
2025.10.11,22:00,Botafogo SP , Amazonas,57,21,21,60,40,32,68,ACC
2025.10.11,15:30,Dunav Ruse , Fratria,66,17,17,38,62,69,31,ACC
2025.10.11,18:00,Esbjerg , Middelfart,59,20,20,30,70,64,36,ACC
2025.10.11,20:00,Cheltenham , Notts County,19,19,62,30,70,56,44,ACC
2025.10.11,13:00,Ilioupoli , Kallithea,21,21,58,40,60,58,42,ACC
2025.10.11,17:00,Hapoel Rishon LeZion , Hapoel Hadera,59,20,20,33,67,66,34,ACC
2025.10.11,17:00,Kiryat Yam SC , Maccabi Kabilio Jaffa,62,19,19,29,71,71,29,ACC
2025.10.11,17:00,Ironi Modiin , Hapoel Afula,59,20,20,31,69,68,32,ACC
2025.10.11,19:30,Salernitana , Crotone,61,19,19,40,60,60,40,ACC
2025.10.11,06:00,Osaka , Parceiro Nagano,68,16,16,30,70,71,29,ACC
2025.10.11,12:00,Shkendija , Makedonija GjP,76,12,12,30,70,57,43,ACC
2025.10.11,12:00,Sileks , Shkupi 1927,69,15,15,33,67,56,44,ACC
2025.10.11,20:00,Sportivo Ameliano , 2 de Mayo,48,26,26,64,36,30,70,ACC
2025.10.11,22:30,Club Atlético Tembetary , Nacional Asuncion,20,20,60,39,61,71,29,ACC
2025.10.11,20:00,AD Tarma , CD Los Chankas,55,22,22,30,70,63,37,ACC
2025.10.11,16:00,ŁKS Łódź II , Śląsk Wrocław II,23,23,53,37,63,64,36,ACC
2025.10.11,17:30,ASA Targu Mures , Politehnica Iasi,61,19,19,34,66,73,27,ACC
2025.10.11,13:00,Chelyabinsk , FC UFA,58,21,21,36,64,71,29,ACC
2025.10.11,16:30,Fakel , Spartak Kostroma,59,20,20,39,61,67,33,ACC
2025.10.11,19:30,Burgos , CD Castellon,52,24,24,36,64,59,41,ACC
2025.10.11,13:30,Jeunesse Sportive Omrane , Olympique Béja,64,18,18,35,65,70,30,ACC
2025.10.11,02:00,San Diego FC , Portland Timbers,68,16,16,35,65,64,36,ACC
2025.10.11,02:00,Spokane Velocity , Portland Hearts of Pine,59,20,20,31,69,62,38,ACC
2025.10.11,13:00,Surkhon , Shortan,77,11,11,40,60,60,40,ACC
