DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2025-11-07,20:30,Werder Bremen,VfL Wolfsburg,39,31,30,43,57,54,46,STA
2025-11-07,01:30,Palmeiras,Santos,64,26,10,35,65,50,50,STA
2025-11-07,00:00,Ceara,Fortaleza,43,30,27,55,45,42,58,STA
2025-11-07,21:00,Elche,Real Sociedad,41,33,26,58,42,52,48,STA
2025-11-07,21:00,Fortaleza FC,Junior,48,33,19,56,44,45,55,STA
2025-11-07,21:00,Envigado,Millonarios,30,28,42,53,47,48,52,STA
2025-11-07,21:00,Bucaramanga,La Equidad,76,18,6,49,51,37,63,STA
2025-11-07,21:00,Once Caldas,Deportivo Pasto,53,27,20,50,50,49,51,STA
2025-11-07,21:00,Atletico Nacional,Rionegro FC,58,28,14,46,54,41,59,STA
2025-11-07,21:00,Deportes Tolima,Llaneros,55,26,19,40,60,41,59,STA
2025-11-07,20:00,Bastia,Reims,30,31,39,50,50,60,40,STA
2025-11-07,20:00,Clermont Foot 63,Amiens,44,28,28,52,48,54,46,STA
2025-11-07,20:00,Nancy,Laval,43,33,24,58,42,40,60,STA
2025-11-07,20:00,Montpellier,Annecy,48,26,26,49,51,45,55,STA
2025-11-07,20:00,Grenoble Foot 38,Rodez,36,36,28,47,53,61,39,STA
2025-11-07,20:00,Dunkerque,Boulogne,54,27,19,45,55,46,54,STA
2025-11-07,21:15,Estoril,Arouca,43,31,26,46,54,63,37,STA
2025-11-07,00:00,Bolivar,Aurora,71,18,11,19,81,58,42,STA
2025-11-07,14:00,FC Gomel,Dinamo Brest,35,28,37,58,42,44,56,STA
2025-11-07,20:30,Spezia,Bari,45,30,25,53,47,48,52,STA
2025-11-07,15:35,Al-Fateh,Al-Taawon,28,30,42,47,53,60,40,STA
2025-11-07,14:20,Al-Feiha,Al-Akhdoud,46,30,24,57,43,39,61,STA
2025-11-07,20:15,Olimpija Ljubljana,Primorje,59,25,16,36,64,55,45,STA
2025-11-07,19:30,Farul Constanta,FC Botosani,39,31,30,55,45,48,52,STA
2025-11-07,17:00,Universitatea Cluj,Metaloglobus,55,29,16,43,57,49,51,STA
2025-11-07,18:00,Genclerbirligi,Istanbul Basaksehir,33,29,38,49,51,49,51,STA
2025-11-07,18:00,AEL Limassol,E.N. Paralimniou,58,25,17,47,53,43,57,STA
2025-11-07,02:30,CSD Municipal,Mictlan,70,22,8,41,59,47,53,STA
2025-11-07,00:00,Guastatoya,Deportivo Mixco,41,25,34,44,56,51,49,STA
2025-11-07,20:30,Zaglebie Lubin,Gornik Zabrze,30,32,38,40,60,65,35,STA
2025-11-07,18:00,Radomiak Radom,Cracovia Krakow,35,30,35,38,62,66,34,STA
2025-11-07,14:00,Qabala,Sumqayit,37,28,35,61,39,42,58,STA
2025-11-07,20:45,The New Saints,Cardiff Metropolitan,68,23,9,19,81,45,55,STA
2025-11-07,20:45,Briton Ferry,Bala Town,32,29,39,44,56,48,52,STA
2025-11-07,19:00,Feirense,Farense,33,27,40,55,45,45,55,STA
