DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2025-11-06,18:45,FSV Mainz 05,Fiorentina,37,33,30,59,41,43,57,STA
2025-11-06,21:00,Crystal Palace,AZ Alkmaar,55,25,20,51,49,48,52,STA
2025-11-06,21:00,Dinamo Kiev,Zrinjski Mostar,58,24,18,52,48,44,56,STA
2025-11-06,18:45,AEK Athens,Shamrock Rovers,72,17,11,49,51,32,68,STA
2025-11-06,18:45,Sparta Praha,Rakow Czestochowa,53,24,23,45,55,54,46,STA
2025-11-06,21:00,Rayo Vallecano,Lech Poznan,63,23,14,50,50,52,48,STA
2025-11-06,21:00,Hacken,Strasbourg,21,24,55,32,68,70,30,STA
2025-11-06,18:45,KuPS,Slovan Bratislava,33,29,38,43,57,63,37,STA
2025-11-06,18:45,A. E. Kition Larnaca,Aberdeen,56,22,22,43,57,40,60,STA
2025-11-06,18:45,NK Celje,Legia Warszawa,53,28,19,42,58,63,37,STA
2025-11-06,21:00,Shkendija,Jagiellonia,30,30,40,56,44,53,47,STA
2025-11-06,21:00,FC Lausanne-Sport,Omonia,45,27,28,28,72,63,37,STA
2025-11-06,21:00,Lincoln Red Imps FC,HNK Rijeka,17,18,65,36,64,44,56,STA
2025-11-06,21:00,Rapid Vienna,FC Universitatea Craiova,54,25,21,43,57,53,47,STA
2025-11-06,18:45,Shakhter Donetsk,Breidablik,78,16,6,23,77,55,45,STA
2025-11-06,18:45,Samsunspor,Hamrun Spartans,75,18,7,38,62,46,54,STA
2025-11-06,21:00,Shelbourne,Drita,62,24,14,42,58,54,46,STA
2025-11-06,18:45,FC Noah,Sigma Olomouc,44,27,29,40,60,52,48,STA
2025-11-06,18:45,Crvena Zvezda,Lille,26,26,48,42,58,66,34,STA
2025-11-06,21:00,Betis,Lyon,48,24,28,37,63,56,44,STA
2025-11-06,21:00,Aston Villa,Maccabi Tel Aviv,74,16,10,41,59,36,64,STA
2025-11-06,21:00,Viktoria Plzen,Fenerbahce,33,31,36,49,51,55,45,STA
2025-11-06,18:45,Nice,SC Freiburg,35,32,33,51,49,51,49,STA
2025-11-06,18:45,Utrecht,FC Porto,27,25,48,40,60,48,52,STA
2025-11-06,18:45,NK Dinamo Zagreb,Celta Vigo,26,24,50,42,58,56,44,STA
2025-11-06,18:45,FC Midtjylland,Celtic,53,28,19,41,59,57,43,STA
2025-11-06,21:00,Bologna,Brann,71,17,12,27,73,52,48,STA
2025-11-06,21:00,Ferencvarosi TC,Ludogorets Razgrad,49,29,22,34,66,61,39,STA
2025-11-06,18:45,Malmo FF,Panathinaikos,33,34,33,48,52,56,44,STA
2025-11-06,18:45,Red Bull Salzburg,Go Ahead Eagles,41,20,39,30,70,66,34,STA
2025-11-06,18:45,FC Basel 1893,FCSB,53,27,20,39,61,61,39,STA
2025-11-06,01:30,Sao Paulo,Flamengo,31,28,41,61,39,39,61,STA
2025-11-06,00:00,Gremio,Cruzeiro,31,33,36,63,37,49,51,STA
2025-11-06,00:00,Atletico Mineiro,Bahia,41,30,29,61,39,48,52,STA
2025-11-06,23:30,Fluminense,Mirassol,46,27,27,59,41,39,61,STA
2025-11-06,17:30,Spartak Moscow,Lokomotiv Moscow,46,29,25,39,61,66,34,STA
2025-11-06,20:00,FAR Rabat,FUS Rabat,54,29,17,58,42,32,68,STA
2025-11-06,14:30,Stade Tunisien,Club Africain,40,29,31,65,35,34,66,STA
2025-11-06,14:30,Esperance ST,Js Omrane,69,22,9,41,59,27,73,STA
2025-11-06,21:00,Chico,America De Cali,32,32,36,62,38,45,55,STA
2025-11-06,01:00,Antigua GFC,Coban Imperial,62,23,15,50,50,45,55,STA
2025-11-06,03:00,Deportivo Marquense,Xelaju,51,31,18,55,45,57,43,STA
2025-11-06,00:00,2 De Mayo,Club Guarani,31,29,40,59,41,42,58,STA
2025-11-06,15:00,Gol Gohar,Zob Ahan,44,35,21,69,31,31,69,STA
2025-11-06,11:00,Pohang Steelers,Tampines Rovers FC,66,17,17,27,73,50,50,STA
2025-11-06,01:10,Independiente Rivadavia,Argentinos Jrs,34,31,35,51,49,40,60,STA
2025-11-06,11:00,Lion City Sailors,Bangkok United,43,27,30,28,72,61,39,STA
2025-11-06,13:15,Selangor,Persib Bandung,47,25,28,37,63,54,46,STA
2025-11-06,13:15,Beijing Guoan,Tai Po,73,16,11,17,83,63,37,STA
2025-11-06,21:00,Reading,Stevenage,32,29,39,45,55,58,42,STA
2025-11-06,09:30,PSBS Biak Numfor,Persita Tangerang,24,31,45,42,58,54,46,STA
2025-11-06,19:00,1899 Hoffenheim (w),SC Freiburg (w),56,21,23,36,64,62,38,STA
