DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2025-11-6,00:00,Antigua GFC , Coban Imperial,58,15,27,43,57,52,48,PREMA
2025-11-6,00:10,Ind. Rivadavia , Argentinos Jrs,29,35,36,69,31,39,61,PREMA
2025-11-6,00:30,Sao Paulo SP , Flamengo RJ,32,21,47,60,40,40,60,PREMA
2025-11-6,01:00,Isidro Metapan , Platense Zac.,36,35,29,44,56,62,38,PREMA
2025-11-6,01:30,FAS Santa Ana , Cacahuatique,45,21,34,46,54,51,49,PREMA
2025-11-6,01:30,Hercules Salvador , Luis Angel Firpo,18,19,63,43,57,55,45,PREMA
2025-11-6,02:00,Marquense , Xelaju MC,38,21,41,42,58,50,50,PREMA
2025-11-6,02:00,Walter Ferretti , Matagalpa,43,27,30,33,67,57,43,PREMA
2025-11-6,07:45,Macarthur , Cong An Ha Noi,37,30,33,42,58,61,39,PREMA
2025-11-6,08:30,PSBS Biak , Persita Tangerang,12,47,41,44,56,55,45,PREMA
2025-11-6,10:00,Lion City Sail. , Bangkok Utd,37,30,33,42,58,60,40,PREMA
2025-11-6,10:00,Pohang Steelers , Tampines Rovers,47,36,17,30,70,44,56,PREMA
2025-11-6,11:00,Rajasthan Utd , Sporting Delhi,36,31,33,46,54,59,41,PREMA
2025-11-6,11:30,A. Niigata , Balestier Khalsa,39,30,31,36,64,65,35,PREMA
2025-11-6,12:15,Selangor , Persib Bandung,35,30,35,43,57,60,40,PREMA
2025-11-6,12:30,Blue Eagles , Big Bullets,32,18,50,56,44,34,66,PREMA
2025-11-6,13:00,Malavan , Shams Azar,42,43,15,85,15,36,64,PREMA
2025-11-6,13:30,Penya Encarnada , Ordino,79,10,11,70,30,47,53,PREMA
2025-11-6,13:30,Esperance Tunis , JS El Omrane,46,33,21,71,29,23,77,PREMA
2025-11-6,13:30,Stade Tunisien , Club Africain,44,16,40,74,26,32,68,PREMA
2025-11-6,14:00,Mumbai City , Kerala Blasters,35,31,34,48,52,57,43,PREMA
2025-11-6,14:00,Gol Gohar , Zob Ahan,42,46,12,86,14,27,73,PREMA
2025-11-6,14:55,Al,Khaleej,22,34,44,48,52,59,41,PREMA
2025-11-6,15:00,Al Ahly Cairo , Cer. Cleopatra,41,35,24,65,35,38,62,PREMA
2025-11-6,15:00,Bendel Insurance , Rivers United,10,68,22,86,14,39,61,PREMA
2025-11-6,15:00,Nasarawa United , Remo Stars,73,6,21,74,26,35,65,PREMA
2025-11-6,15:30,Racing Abidjan , ISCA Abidjan,46,10,44,75,25,24,76,PREMA
2025-11-6,16:30,Spartak Moscow , Lok. Moscow,39,31,30,46,54,57,43,PREMA
2025-11-6,17:30,Zamalek , Pyramids,32,33,35,61,39,46,54,PREMA
2025-11-6,17:30,Al,Kholood,54,18,28,39,61,64,36,PREMA
2025-11-6,17:30,Al, Damac,61,21,18,43,57,78,22,PREMA
2025-11-6,17:45,AEK Athens , Shamrock Rovers,47,37,16,37,63,39,61,PREMA
2025-11-6,17:45,AEK Larnaca , Aberdeen,44,34,22,49,51,45,55,PREMA
2025-11-6,17:45,Celje , Legia Warszawa,36,31,33,46,54,58,42,PREMA
2025-11-6,17:45,KuPS Kuopio , Slovan Brat.,30,31,39,45,55,57,43,PREMA
2025-11-6,17:45,Mainz 05 , Fiorentina,37,32,31,55,45,51,49,PREMA
2025-11-6,17:45,Noah , Sigma Olomouc,39,32,29,52,48,51,49,PREMA
2025-11-6,17:45,Samsunspor , Hamrun Spartans,47,35,18,35,65,45,55,PREMA
2025-11-6,17:45,Shakhtar Donetsk , Breidablik,47,35,18,29,71,48,52,PREMA
