DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
06/11/25,00:10,Independ. Rivadavia,Argentinos JRS,5,48,47,77,23,28,72,FST
06/11/25,23:00,Bolivar,Club Aurora,89,3,8,19,81,62,38,FST
06/11/25,00:30,Sao Paulo,Flamengo,33,8,59,72,28,31,69,FST
06/11/25,22:30,Fluminense,Mirassol,59,19,22,67,33,38,62,FST
06/11/25,23:00,Ceara,Fortaleza,50,33,17,75,25,30,70,FST
06/11/25,23:10,Boyaca Chico,America de Cali,21,6,73,70,30,30,70,FST
06/11/25,21:00,Cucuta,Huila,66,14,20,30,70,69,31,FST
06/11/25,01:30,FAS,Cacahuatique,66,12,22,44,56,59,41,FST
06/11/25,20:00,Reading,Stevenage,20,47,33,67,33,57,43,FST
06/11/25,08:30,PSBS Biak Numfor,Persita,30,6,64,63,37,35,65,FST
06/11/25,13:00,Malavan,Shams Azar Qazvin,67,16,17,18,82,65,35,FST
06/11/25,19:00,FAR Rabat,FUS Rabat,72,12,16,73,27,29,71,FST
06/11/25,14:55,Al Hazm,Al Khaleej Saihat,8,36,56,37,63,67,33,FST
06/11/25,17:30,Al Qadisiya Al Khubar,Al Kholood,75,8,17,34,66,67,33,FST
06/11/25,17:30,Al Riyadh,Damac FC,55,15,30,64,36,36,64,FST
06/11/25,13:30,ES Tunis,Jeunesse Sportive Omrane,89,6,5,31,69,65,35,FST
06/11/25,13:30,Stade Tunisien,Club Africain,4,48,48,80,20,34,66,FST
06/11/25,17:45,AEK Athens,Shamrock Rovers,89,6,5,25,75,27,73,FST
06/11/25,17:45,AEK Larnaca,Aberdeen,78,9,13,61,39,37,63,FST
06/11/25,17:45,NK Celje,Legia Warsaw,30,47,23,37,63,70,30,FST
06/11/25,17:45,KuPS Kuopio,Slovan Bratislava,41,4,55,37,63,68,32,FST
06/11/25,17:45,Mainz,Fiorentina,50,30,20,37,63,61,39,FST
06/11/25,17:45,Noah,Sigma Olomouc,62,13,25,38,62,69,31,FST
06/11/25,17:45,Samsunspor,Hamrun Spartans,89,4,7,25,75,33,67,FST
06/11/25,17:45,Shakhtar Donetsk,Breidablik,89,4,7,18,82,61,39,FST
06/11/25,17:45,Sparta Prague,Rakow Czestochowa,65,13,22,38,62,61,39,FST
06/11/25,20:00,Shkendija Tetovo,Jagiellonia Bialystok,41,4,55,42,58,66,34,FST
06/11/25,20:00,Rapid Vienna,CS U Craiova,66,17,17,42,58,56,44,FST
06/11/25,20:00,Crystal Palace,AZ,76,8,16,30,70,66,34,FST
06/11/25,20:00,Dynamo Kyiv,Zrinjski Mostar,66,15,19,59,41,34,66,FST
06/11/25,20:00,BK Hacken,Strasbourg,8,37,55,32,68,76,24,FST
06/11/25,20:00,Lausanne Sports,Omonia Nicosia,53,29,18,36,64,73,27,FST
06/11/25,20:00,Lincoln Red Imps FC,HNK Rijeka,17,7,76,62,38,38,62,FST
06/11/25,20:00,Rayo Vallecano,Lech Poznan,76,10,14,32,68,68,32,FST
06/11/25,20:00,Shelbourne,KF Drita,60,16,24,38,62,67,33,FST
06/11/25,17:45,Basel,FCSB,71,11,18,35,65,64,36,FST
06/11/25,17:45,Crvena Zvezda,Lille,5,47,48,38,62,73,27,FST
06/11/25,17:45,Dinamo Zagreb,Celta Vigo,16,55,29,41,59,62,38,FST
06/11/25,17:45,Malmo FF,Panathinaikos,33,48,19,63,37,68,32,FST
06/11/25,17:45,Midtjylland,Celtic,56,29,15,35,65,76,24,FST
06/11/25,17:45,Nice,SC Freiburg,16,56,28,42,58,65,35,FST
06/11/25,17:45,FC Salzburg,Go Ahead Eagles,65,13,22,31,69,73,27,FST
06/11/25,17:45,SK Sturm Graz,Nottm Forest,30,6,64,37,63,66,34,FST
06/11/25,17:45,FC Utrecht,FC Porto,31,6,63,39,61,66,34,FST
06/11/25,20:00,Aston Villa,Maccabi Tel Aviv,89,3,8,26,74,34,66,FST
06/11/25,20:00,Real Betis,Lyon,61,14,25,36,64,74,26,FST
06/11/25,20:00,Bologna,SK Brann,78,10,12,34,66,57,43,FST
06/11/25,20:00,Braga,Genk,67,12,21,36,64,66,34,FST
06/11/25,20:00,Ferencvarosi TC,Ludogorets Razgrad,65,13,22,41,59,62,38,FST
06/11/25,20:00,PAOK Salonika,Young Boys,63,16,21,37,63,73,27,FST
06/11/25,20:00,Viktoria Plzen,Fenerbahce,6,45,49,39,61,63,37,FST
06/11/25,20:00,Rangers,Roma,27,8,65,40,60,63,37,FST
06/11/25,20:00,VfB Stuttgart,Feyenoord,59,17,24,37,63,73,27,FST
