DATE,TIME,HOME TEAM,AWAY TEAM,HOME PER,DRAW PER,AWAY PER,UNDER 2.5,OVER 2.5,BTS,OTS,NAME
2025.06.11,00:10,Independ. Rivadavia , Argentinos JRS,17,17,65,34,66,66,34,ACC
2025.06.11,23:00,Bolivar , Club Aurora,76,12,12,34,66,66,34,ACC
2025.06.11,00:30,Sao Paulo , Flamengo,18,18,63,71,29,35,65,ACC
2025.06.11,22:30,Fluminense , Mirassol,62,19,19,64,36,39,61,ACC
2025.06.11,23:00,Ceara , Fortaleza,44,28,28,63,37,43,57,ACC
2025.06.11,23:10,Boyaca Chico , America de Cali,15,15,70,62,38,27,73,ACC
2025.06.11,21:00,Cucuta , Huila,57,21,21,32,68,71,29,ACC
2025.06.11,01:30,FAS , Cacahuatique,66,17,17,30,70,61,39,ACC
2025.06.11,20:00,Reading , Stevenage,26,26,48,33,67,63,37,ACC
2025.06.11,16:00,Flora II , Nõmme United,11,11,78,31,69,63,37,ACC
2025.06.11,00:00,Antigua GFC , Cobán Imperial,60,20,20,31,69,63,37,ACC
2025.06.11,02:00,Marquense , Xelajú,58,21,21,29,71,62,38,ACC
2025.06.11,23:00,Guastatoya , Mixco,56,22,22,38,62,67,33,ACC
2025.06.11,08:30,PSBS Biak Numfor , Persita,16,16,67,40,60,71,29,ACC
2025.06.11,17:30,Hapoel Beit Shean , Araba,60,20,20,40,60,63,37,ACC
2025.06.11,19:00,FAR Rabat , FUS Rabat,63,18,18,62,38,35,65,ACC
2025.06.11,09:00,Hantharwady United , Shan United,22,22,55,36,64,72,28,ACC
2025.06.11,02:00,Walter Ferretti , Matagalpa,59,20,20,36,64,63,37,ACC
2025.06.11,15:00,Bendel Insurance , Rivers United,63,18,18,37,63,69,31,ACC
2025.06.11,15:00,Nasarawa United , Remo Stars,71,14,14,37,63,67,33,ACC
2025.06.11,16:30,Spartak Moscow , Lokomotiv Moscow,61,19,19,29,71,60,40,ACC
2025.06.11,14:55,Al Hazm , Al Khaleej Saihat,28,28,44,40,60,65,35,ACC
